id,chapter_id,section_number,section_title,section_desc,source
53,2,52,Good faith,Nothing is said to be done or believed in “good faith” which is done or believed without due care and attention.,IPC
54,2,52A,Harbour,"Except in section 157, and in section 130 in the case in which the harbour is given by the wife or husband of the person harboured, the word “harbour” includes the supplying a person with shelter, food, drink, money, clothes, arms, ammunition or means of conveyance, or the assisting a person by any means, whether of the same kind as those enumerated in this section or not, to evade apprehension.",IPC
55,3,53,Punishments,The punishments to which offenders are liable under the provisions of this Code are,IPC
56,3,53A,Construction of reference to transportation,"Subject to the provisions of sub-section (2) and sub-section (3), any reference to “transportation for life” in any other law for the time being in force or in any instrument or order having effect by virtue of any such law or of any enactment repealed shall be construed as a reference to “imprisonment for life”. In every case in which a sentence of transportation for a term has been passed before the commencement of the Code of Criminal Procedure (Amendment) Act, 1955, (26 of 1955), the offender shall be dealt with in the same manner as if sentenced to rigorous imprisonment for the same term. Any reference to transportation for a term or to transportation for any shorter term (by whatever name called) in any other law for the time being in force shall be deemed to have been omitted.
Any reference to “transportation” in any other law for the time being in force shall
if the expression means transportation for life, be construed as a reference to imprisonment for life;
if the expression means transportation for any shorter term, be deemed to have been omitted.",IPC
57,3,54,Commutation of sentence of death,"In every case in which sentence of death shall have been passed, the appropriate Government may, without the consent of the offender, commute the punishment for any other punishment provided by this Code.",IPC
58,3,55,Commutation of sentence of imprisonment for life,"In every case in which sentence of imprisonment for life shall have been passed, the appropriate Government may, without the consent of the offender, commute the punishment for imprisonment of either description for a term not exceeding fourteen years.",IPC
59,3,55A,Definition of  appropriate Government,In sections 54 and 55 the expression “appropriate Government” means:,IPC
60,3,56,Sentence of Europeans and Americans to penal servitude.,"Repealed by the Criminal Law (Removal of Racial Discriminations) Act, 1949 (17 of 1949)",IPC
61,3,57,Fractions of terms of punishment,"In calculating fractions of terms of punishment, imprisonment for life shall be reckoned as equivalent to imprisonment for twenty years.",IPC
62,3,58,Offenders sentenced to transportation how dealt with until transported.,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955), S. 117 and Sch.",IPC
63,3,59,Transportation instead of imprisonment.,"Repealed by the Code of Criminal Procedure (Amendment) Act, 1955 (26 of 1955) S. 117 and Sch.",IPC
64,3,60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,"In every case in which an offender is punishable with imprisonment which may be of either description, it shall be competent to the Court which sentences such offender to direct in the sentence that such imprisonment shall be wholly rigorous, or that such imprisonment shall be wholly simple or that any part of such imprisonment shall be rigorous and the rest simple.",IPC
65,3,61,Sentence of forfeiture of property.,"Repealed by the Indian Penal Code (Amendment) Act, 1921 (16 of 1921), S. 4.",IPC
66,3,62,"Forfeiture of property, in respect of offenders punishable with death, transportation or imprisonment.",Repealed by S. 4 ibid.,IPC
67,3,63,Amount of fine,"Where no sum is expressed to which a fine may extend, the amount of fine to which the offender is liable is unlimited, but shall not be excessive.",IPC
68,3,64,Sentence of imprisonment for non-payment of fine,"In every case of an offence punishable with imprisonment as well as fine, in which the offender is sentenced to a fine, whether with or without imprisonment, and in every case of an offence punishable with imprisonment or fine, or with fine only, in which the offender is sentenced to a fine.",IPC
69,3,65,"Limit to imprisonment for non-payment of fine, when imprisonment and fine awardable","The term for which the Court directs the offender to be imprisoned in default of payment of a fine shall not exceed one-fourth of the term of imprisonment which is the maximum fixed for the offence, if the offence be punishable with imprisonment as well as fine.",IPC
70,3,66,Description of imprisonment for non-payment of fine,The imprisonment which the Court imposes in default of payment of a fine may be of any description to which the offender might have been sentenced for the offence.,IPC
71,3,67,"Imprisonment for non-payment of fine, when offence punishable with fine only","If the offence be punishable with fine only, the imprisonment which the Court imposes in default of payment of the fine shall be simple, and the term for which the Court directs the offender to be imprisoned, in default of payment of fine, shall not exceed the following scale, that is to say,
for any term not exceeding two months when the amount of the fine shall not exceed fifty rupees,
and for any term not exceeding four months when the amount shall not exceed one hundred rupees,
and for any term not exceeding six months in any other case.",IPC
72,3,68,Imprisonment to terminate on payment of fine,The imprisonment which is imposed in default of payment of a fine shall terminate whenever that fine is either paid or levied by process of law.,IPC
73,3,69,Termination of imprisonment on payment of proportional part of fine,"If, before the expiration of the term of imprisonment fixed in default of payment, such a proportion of the fine be paid or levied that the term of imprisonment suffered in default of payment is not less than proportional to the part of the fine still unpaid, the imprisonment shall terminate.",IPC
74,3,70,"Fine leviable within six years, or during imprisonment. Death not to discharge property from liability","The fine, or any part thereof which remains unpaid, may be levied at any time within six years after the passing of the sentence, and if, under the sentence, the offender be liable to imprisonment for a longer period than six years, then at any time previous to the expiration of that period;
and the death of the offender does not discharge from the liability any property which would, after his death, be legally liable for his debts.",IPC
75,3,71,Limit of punishment of offence made up of several offences,"Where anything which is an offence is made up of parts, any of which parts is itself an offence, the offender shall not be punished with the punishment of more than one of such his offences, unless it be so expressly provided.",IPC
76,3,72,"Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which","In all cases in which judgment is given that a person is guilty of one of several offences specified in the judgment, but that it is doubtful of which of these offences he is guilty, the offender shall be punished for the offence for which the lowest punishment is provided if the same punishment is not provided for all.",IPC
77,3,73,Solitary confinement,"Whenever any person is convicted of an offence for which under this Code the Court has power to sentence him to rigorous imprisonment, the Court may, by its sentence, order that the offender shall be kept in solitary confinement for any portion or portions of the imprisonment to which he is sentenced, not exceeding three months in the whole, according to the following scale, that is to say:
a time not exceeding one month if the term of imprisonment shall not exceed six months;
a time not exceeding two months if the term of imprisonment shall exceed six months and shall not exceed one year;
a time not exceeding three months if the term of imprisonment shall exceed one year.",IPC
78,3,74,Limit of solitary confinement,"In executing a sentence of solitary confinement, such confinement shall in no case exceed fourteen days at a time, with intervals between the periods of solitary confinement of not less duration than such periods;
and when the imprisonment awarded shall exceed three months, the solitary confinement shall not exceed seven days in any one month of the whole imprisonment awarded, with intervals between the periods of solitary confinement of not less duration than such periods.",IPC
79,3,75,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,"Whoever, having been convicted: by a Court in India, of an offence punishable under Chapter XII or Chapter XVII of this Code with imprisonment of either description for a term of three years or upwards, shall be guilty of any offence punishable under either of those Chapters with like imprisonment for the like term, shall be subject for every such subsequent offence to imprisonment for life or to imprisonment of either description for a term which may extend to ten years.",IPC
80,4,76,"Act done by a person bound, or by mistake of fact believing himself bound, by law","Nothing is an offence which is done by a person who is, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith believes himself to be, bound by law to do it.",IPC
81,4,77,Act of Judge when acting judicially,"Nothing is an offence which is done by a Judge when acting judicially in the exercise of any power which is, or which in good faith he believes to be, given to him by law.",IPC
82,4,78,Act done pursuant to the judgment or order of Court,"Nothing which is done in pursuance of, or which is warranted by the judgment or order of, a Court of Justice, if done whilst such judgment or order remains in force, is an offence, notwithstanding the Court may have had no jurisdiction to pass such judgment or order, provided the person doing the act in good faith believes that the Court had such jurisdiction.",IPC
83,4,79,"Act done by a person justified, or by mistake of fact believing himself, justified, by law","Nothing is an offence which is done by any person who is justified by law, or who by reason of a mistake of fact and not by reason of a mistake of law in good faith, believes himself to be justified by law, in doing it.",IPC
84,4,80,Accident in doing a lawful act,"Nothing is an offence which is done by accident or misfortune, and without any criminal intention or knowledge in the doing of a lawful act in a lawful manner by lawful means and with proper care and caution.",IPC
85,4,81,"Act likely to cause harm, but done without criminal intent, and to prevent other harm","Nothing is an offence merely by reason of its being done with the knowledge that it is likely to cause harm, if it be done without any criminal intention to cause harm, and in good faith for the purpose of preventing or avoiding other harm to person or property.",IPC
86,4,82,Act of a child under seven years of age,Nothing is an offence which is done by a child under seven years of age.,IPC
87,4,83,Act of a child above seven and under twelve of immature understanding,"Nothing is an offence which is done by a child above seven years of age and under twelve, who has not attained sufficient maturity or understanding to judge the nature and consequences of his conduct on that occasion.",IPC
88,4,84,Act of a person of unsound mind,"Nothing is an offence which is done by a person who, at the time of doing it, by reason of unsoundness of mind, is incapable of knowing the nature of the act, or that he is doing what is either wrong or contrary to law.",IPC
89,4,85,Act of a person incapable of judgment by reason of intoxication caused against his will,"Nothing is an offence which is done by a person who, at the time of doing it, is, by reason of intoxication, incapable of knowing the nature of the act, or that he is doing what is either wrong, or contrary to law:
Provided that the thing which intoxicated him was administered to him without his knowledge or against his will.",IPC
90,4,86,Offence requiring a particular intent or knowledge committed by one who is intoxicated,"In cases where an act done is not an offence unless done with a particular knowledge or intent, a person who does the act in a state of intoxication shall be liable to be dealt with as if he had the same knowledge as he would have had if he had not been intoxicated, unless the thing which intoxicated him was administered to him without his knowledge or against his will.",IPC
91,4,87,"Act not intended and not known to be likely to cause death or grievous hurt, done by consent","Nothing which is not intended to cause death, or grievous hurt, and which is not known by the doer to be likely to cause death or grievous hurt, is an offence by reason of any harm which it may cause, or be intended by the doer to cause, to any person, above eighteen years of age, who has given consent, whether express or implied, to suffer that harm;
Or by reason of any harm which it may be known by the doer to be likely to cause to any such person who has consented to take the risk of that harm.",IPC
92,4,88,"Act not intended to cause death, done by consent in good faith for person's benefit","Nothing, which is not intended to cause death, is an offence by reason of any harm which it may cause, or be intended by the doer to cause, or be known by the doer to be likely to cause, to any person for whose benefit it is done in good faith, and who has given a consent, whether express or implied to suffer that harm, or to take the risk of that harm.",IPC
93,4,89,"Act done in good faith for benefit of child or insane person, by or by consent of guardian","Nothing which is done in good faith for the benefit of a person under twelve years of age, or of unsound mind, by or by consent, either express or implied, of the guardian or other person having lawful charge of that person, is an offence by reason of any harm which it may cause, or be intended by the doer to cause or be known by the doer to be likely to cause to that person; Provided:",IPC
94,4,90,Consent known to be given under fear or misconception,"A consent is not such a consent as is intended by any section of this Code, if the consent is given by a person under fear of injury, or under a misconception of fact, and if the person doing the act knows, or has reason to believe, that the consent was given in consequence of such fear or misconception; or
Consent of insane person if the consent is given by a person who, from unsoundness of mind, or intoxication, is unable to understand the nature and consequence of that to which he gives his consent; or
Consent of child unless the contrary appears from the context, if the consent is given by a person who is under twelve years of age.",IPC
95,4,91,Exclusion of acts which are offences independently of harm cause,"The exceptions in sections 87, 88 and 89 do not extend to acts which are offences independently of any harm which they may cause, or be intended to cause, or be known to be likely to cause, to the person giving the consent, or on whose behalf the consent is given.",IPC
96,4,92,Act done in good faith for benefit of a person without consent,"Nothing is an offence by reason of any harm which it may causes to a person for whose benefit it is done in good faith, even without that person’s consent, if the circumstances are such that it is impossible for that person to signify consent, or if that person is incapable of giving consent, and has no guardian or other person in lawful charge of him from whom it is possible to obtain consent in time for the thing to be done with benefit;",IPC
97,4,93,Communication made in good faith,"No communication made in good faith is an offence by reason of any harm to the person to whom it is made, if it is made for the benefit of that person.",IPC
98,4,94,Act to which a person is compelled by threats,"Except murder, and offences against the State punishable with death, nothing is an offence which is done by a person who is compelled to do it by threats, which, at the time of doing it, reasonably cause the apprehension that instant death to that person will otherwise be the consequence;",IPC
99,4,95,Act causing slight harm,"Nothing is an offence by reason that it causes, or that it is intended to cause, or that it is known to be likely to cause, any harm, if that harm is so slight that no person of ordinary sense and temper would complain of such harm.",IPC
100,4,96,Things done in private defence,Nothing is an offence which is done in the exercise of the right of private defence.,IPC
101,4,97,Right of private defence of the body and of property,"Every person has a right, subject to the restrictions contained in section 99, to defend: His own body, and the body of any other person, against any offence affecting the human body;
The property, whether movable or immovable, of himself or of any other person, against any act which is an offence falling under the definition of theft, robbery, mischief or criminal trespass, or which is an attempt to commit theft, robbery, mischief or criminal trespass.",IPC
102,4,98,"Right of private defence against the act of a person of unsound mind, etc.","When an act which would otherwise be a certain offence, is not that offence, by reason of the youth, the want of maturity of understanding, the unsoundness of mind or the intoxication of the person doing that act, or by reason of any misconception on the part of that person, every person has the same right of private defence against that act which he would have if the act were that offence.",IPC
103,4,99,Acts against which there is no right of private defence,"There is no right of private defence against an act which does not reasonably cause the apprehension of death or of grievous hurt, if done, or attempted to be done, by a public servant acting in good faith under colour of his office, though that act may not be strictly justifiable by law.",IPC
104,4,100,When the right of private defence of the body extends to causing death,"The right of private defence of the body extends, under the restrictions mentioned in the last preceding section, to the voluntary causing of death or of any other harm to the assailant, if the offence which occasions the exercise of the right be of any of the descriptions hereinafter enumerated, namely:",IPC
105,4,101,When such right extends to causing any harm other than death,"If the offence be not of any of the descriptions enumerated in the last preceding section, the right of private defence of the body does not extend to the voluntary causing of death to the assailant, but does extend, under the restrictions mentioned in section 99, to the voluntary causing to the assailant of any harm other than death.",IPC
106,4,102,Commencement and continuance of the right of private defence of the body,The right of private defence of the body commences as soon as a reasonable apprehension of danger to the body arises from an attempt or threat to commit the offence though the offence may not have been committed; and it continues as long as such apprehension of danger to the body continues.,IPC
107,4,103,When the right of private defence of property extends to causing death,"The right of private defence of property extends, under the restrictions mentioned in section 99, to the voluntary causing of death or of any other harm to the wrong-doer, if the offence, the committing of which, or the attempting to commit which, occasions the exercise of the right, be an offence of any of the descriptions hereinafter enumerated, namely:",IPC
108,4,104,When such right to causing any harm other than death,"If the offence, the committing of which, or the attempting to commit which occasions the exercise of the right of private defence, be theft, mischief, or criminal trespass, not of any of the descriptions enumerated in the last preceding section, that right does not extend to the voluntary causing of death, but does extend, subject to the restrictions mentioned in section 99, to the voluntary causing to the wrong-doer of any harm other than death.",IPC
109,4,105,Commencement and continuance of the right of private defence of property,The right of private defence of property commences when a reasonable apprehension of danger to the property commences.,IPC
110,4,106,Right of private defence against deadly assault when there is risk of harm to innocent person,"If in the exercise of the right of private defence against an assault which reasonably causes the apprehension of death, the defender be so situated that he cannot effectually exercise that right without risk of harm to an innocent person, his right of private defence extends to the running of that risk.",IPC
111,5,107,Abetment of a thing,"A person abets the doing of a thing, who: Instigates any person to do that thing; or
Engages with one or more other person or persons in any conspiracy for the doing of that thing, if an act or illegal omission takes place in pursuance of that conspiracy, and in order to the doing of that thing; or
Intentionally aids, by any act or illegal omission, the doing of that thing.",IPC
112,5,108,Abettor,"A person abets an offence, who abets either the commission of an offence, or the commission of an act which would be an offence, if committed by a person capable by law of committing an offence with the same intention or knowledge as that of the abettor.",IPC
113,5,108A,Abetment in India of offences outside India,"A person abets an offence within the meaning of this Code who, in India, abets the commission of any act without and beyond India which would constitute an offence if committed in India.",IPC
114,5,109,Punishment of abetment if the act abetted is committed in consequence and where no express provision is made for its punishment,"Whoever abets any offence shall, if the act abetted is committed in consequence of the abetment, and no express provision is made by this Code for the punishment of such abetment, be punished with the punishment provided for the offence.",IPC
115,5,110,Punishment of abetment if person abetted does act with different intention from that of abettor,"Whoever abets the commission of an offence shall, if the person abetted does the act with a different intention or knowledge from that of the abettor, be punished with the punishment provided for the offence which would have been committed if the act had been done with the intention or knowledge of the abettor and with no other.",IPC
116,5,111,Liability of abettor when one act abetted and different act done,"When an Act is abetted and a different act is done, the abettor is liable for the act done, in the same manner and to the same extent as if he had directly abetted it.",IPC
117,5,112,Abettor when liable to cumulative punishment for act abetted and for act done,"If the act for which the abettor is liable under the last preceding section is committed in addition to the act abetted, and constitute a distinct offence, the abettor is liable to punishment for each of the offences.",IPC
118,5,113,Liability of abettor for an effect caused by the act abetted different from that intended by the abettor,"When an act is abetted with the intention on the part of the abettor of causing a particular effect, and an act for which the abettor is liable in consequence of the abetment, causes a different effect from that intended by the abettor, the abettor is liable for the effect caused, in the same manner and to the same extent as if he had abetted the act with the intention of causing that effect, provided he knew that the act abetted was likely to cause that effect.",IPC
119,5,114,Abettor present when offence is committed,"Whenever any person who if absent would be liable to be punished as an abettor, is present when the act or offence for which he would be punishable in consequence of the abetment is committed, he shall be deemed to have committed such act or offence.",IPC
120,5,115,Abetment of offence punishable with death or imprisonment for life if offence not committed,"Whoever abets the commission of an offence punishable with death or imprisonment for life, shall, if that offence be not committed in consequence of the abetment, and no express provision is made by this Code for the punishment of such abetment, be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine;",IPC
121,5,116,Abetment of offence punishable with imprisonment -- if offence be not committed,"Whoever abets an offence punishable with imprisonment shall, if that offence be not committed in consequence of the abetment, and no express provision is made by this Code for the punishment of such abetment, be punished with imprisonment of any description provided for that offence for a term which may extend to one-fourth part of the longest term provided for that offence;
or with such fine as is provided for that offence, or with both;",IPC
122,5,117,Abetting commission of offence by the public or by more than ten persons,"Whoever abets the commission of an offence by the public generally or by any number or class of persons exceeding ten, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.",IPC
123,5,118,Concealing design to commit offence punishable with death or imprisonment for life,"Whoever intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with death or imprisonment for life, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence or makes any representation which he knows to be false respecting such design:",IPC
124,5,119,Public servant concealing design to commit offence which it is his duty to prevent,"Whoever, being a public servant intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence which it is his duty as such public servant to prevent, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or makes any representation which he knows to be false respecting such design:",IPC
125,5,120,Concealing design to commit offence punishable with imprisonment,"Whoever, intending to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence punishable with imprisonment, voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or makes any representation which he knows to be false respecting such design:",IPC
126,5,120A,Definition of criminal conspiracy,"When two or more persons agree to do, or cause to be done:
an illegal act, or
an act which is not illegal by illegal means, such an agreement is designated a criminal conspiracy;
Provided that no agreement except an agreement to commit an offence shall amount to a criminal conspiracy unless some act besides the agreement is done by one or more parties to such agreement in pursuance thereof.",IPC
127,5,120B,Punishment of criminal conspiracy,"Whoever is a party to a criminal conspiracy to commit an offence punishable with death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, shall, where no express provision is made in this Code for the punishment of such a conspiracy, be punished in the same manner as if he had abetted such offence.
Whoever is a party to a criminal conspiracy other than a criminal conspiracy to commit an offence punishable as aforesaid shall be punished with imprisonment of either description for a term not exceeding six months, or with fine or with both.",IPC
128,6,121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of India","Whoever wages war against the Government of India, or attempts to wage such war, or abets the waging of such war, shall be punished with death, or imprisonment for life and shall also be liable to fine.",IPC
129,6,121A,Conspiracy to commit offences punishable by section 121,"Whoever within or without India conspires to commit any of the offences punishable by section 121, or conspires to overawe, by means of criminal force or the show of criminal force, the Central Government or any State Government, shall be punished with imprisonment for life, or with imprisonment of either description which may extend to ten years, and shall also be liable to fine.",IPC
130,6,122,"Collecting arms, etc., with intention of waging war against the Government of India","Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either waging or being prepared to wage war against the Government of India, shall be punished with imprisonment for life or imprisonment of either description for a term not exceeding ten years, and shall also be liable to fine.",IPC
131,6,123,Concealing with intent to facilitate design to wage war,"Whoever, by any act, or by any illegal omission, conceals the existence of a design to wage war against the Government of India, intending by such concealment to facilitate, or knowing it to be likely that such concealment will facilitate, the waging of such war, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",IPC
132,6,124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any lawful power","Whoever, with the intention of inducing or compelling the President of India, or Governor of any State, to exercise or refrain from exercising in any manner any of the lawful powers of such President or Governor, assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe, such President or Governor, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.",IPC
133,6,124A,Sedition,"Whoever by words, either spoken or written, or by signs, or by visible representation, or otherwise, brings or attempts to bring into hatred or contempt, or excites or attempts to excite disaffection towards, the Government established by law in India, a shall be punished with imprisonment for life, to which fine may be added, or with imprisonment which may extend to three years, to which fine may be added, or with fine.",IPC
134,6,125,Waging war against any Asiatic Power in alliance with the Government of India,"Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war, shall be punished with imprisonment for life, to which fine may be added, or with imprisonment of either description for a term which may extend to seven years, to which fine may be added, or with fine.",IPC
135,6,126,Committing depredation on territories of Power at peace with the Government of India,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any Power in alliance or at peace with the Government of India, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of any property used or intended to be used in committing such depredation, or acquired by such depredation.",IPC
136,6,127,Receiving property taken by war or depredation mentioned in sections 125 and 126,"Whoever receives any property knowing the same to have been taken in the commission of any of the offences mentioned in sections 125 and 126, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine and to forfeiture of the property so received.",IPC
137,6,128,Public servant voluntarily allowing prisoner of state or war to escape,"Whoever, being a public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such prisoner to escape from any place in which such prisoner is confined, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",IPC
